id,is_iceberg
5941774d,0.01
4023181e,0.1980104875375
b20200e4,0.0091490224232
e7f018bb,0.998599332094
4371c8c3,0.3398745065755
a8d9b1fd,0.15458742046399998
29e7727e,0.01
92a51ffb,0.99
c769ac97,0.0012352062474399999
aee0547d,0.01
565b28ac,0.01
e04e9775,0.26185773042399996
8e8161d1,0.002584216130605
4cf4d256,0.6799010192315
139e5324,0.030653571203099996
f156976f,0.01
68a117cc,0.08462801190300001
d9aa7a56,0.04222555426375
9005b143,0.0263319544606
5f6d3988,0.99
9ad70954,0.22585881182349998
b9087b9e,0.99
a39a1427,0.036690159099900005
82fbe8ed,0.008750752720050001
1fae4879,0.00054721272962525
6dd8f13d,0.0028676680033950003
bbad5958,0.01
54527583,0.054842031250299995
be8fa29c,0.10730152671399999
81a3328f,0.99
1a3c0ab3,0.00391446103775
4deeeb8b,0.5023745470605
ac6d5632,0.0957930269436
472dadb5,0.199095301353
96093f95,0.975542759919
f5b4e3df,0.99
e01a3c92,0.01
001680af,0.160923861286
8e639f33,0.1902432416255
a2c16612,0.9387773472025001
a6d76474,0.002032464507275
19c47684,0.103721803434
015827b6,0.13440009505699999
7df7f7ce,0.048568658416150004
0bbf1a3f,0.5655572184355
636cfbb7,0.99
7370030a,0.9908333535195
43aa97ad,0.00411361130416
ba2b5e63,0.99
dfdd335b,0.240077152525
e79b13dc,0.0442162729006
dc32b195,0.16799723026650001
6d868590,0.99
75fa59aa,0.016598291334500002
ffe50836,0.03609523722525
a7bfd784,0.99
b3d569e3,0.01
6c538c5b,0.01
5c7c15f4,0.004796771154445
0b745139,0.01911827592365
fd14608e,0.1926502589245
f0bc8305,0.02464181342465
a10ccb28,0.99
543304c7,0.204395362815
6c3a4078,0.01
9b73cc75,0.35655487749
5c6c71b1,0.030756447363350002
09ee9186,0.0626337327465
207c35cf,0.144239608641
153c813e,0.0052978759640549995
5605d58b,0.433742535137
642ca396,0.00312275973291
d32d72c0,0.06161876208205
16646a17,0.9687786831265
384074af,0.1155454159665
69bf1e8c,0.3610009345855
9e90a054,0.184775181603
89dbe7f7,0.99
dbd27d22,0.274976007132
a2ea1561,0.3163083398515
d63402af,0.13728536044450002
1ac8bb92,0.99
8beffca5,0.0137848350175
46741f3e,0.0529218146865
e5ee6aa7,0.04033461809795
5ecd892b,0.7656898668309999
69892166,0.01
2f725a81,0.041185416443
810abfe4,0.003028576706
e6f973e6,0.1008299449595
c60a5c46,0.247045742918
c42b9e08,0.350070664862
c3f00c23,0.00738792696465
5307fdb8,0.99
3e4f005e,0.0020590640803549998
4a4cc2e0,0.99
9bdd88d1,0.01
0d832bed,0.0133695732654
14a134fa,0.01004434544105
78a41676,0.0029774005992800005
0bd4658e,0.2522722472145
4a311bb0,0.455855113046
f939c817,0.112754785374
956adc4d,0.99
f8a119f5,0.565251198728
61faa1ad,0.0488162410531
6725eb3e,0.03408257490325
17b3a8fd,0.0318497393858
49a88dfc,0.00925176591545
2d6ec645,0.44318366882050003
0d4d77ba,0.311885116428
3ee672a2,0.99
738b41fd,0.1107368193025
f7fb320d,0.206648417887
b42fad18,0.01
4ab8b00a,0.316895972204
f7870f2b,0.01
4978666a,0.5493880148595001
